
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'defaultViewResolver': no URL paths identified
2017-10-25 01:56:06.414 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'viewResolver': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'welcomePageHandlerMapping': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'requestContextFilter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'hiddenHttpMethodFilter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'httpPutFormContentFilter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mbeanExporter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'objectNamingStrategy': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mbeanServer': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.context.ConfigurationPropertiesAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.HttpMessageConvertersAutoConfiguration$StringHttpMessageConverterConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'stringHttpMessageConverter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'spring.http.encoding-org.springframework.boot.autoconfigure.web.HttpEncodingProperties': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.JacksonHttpMessageConvertersConfiguration$MappingJackson2HttpMessageConverterConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'mappingJackson2HttpMessageConverter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.JacksonHttpMessageConvertersConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.HttpMessageConvertersAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'messageConverters': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.SpringBootWebSecurityConfiguration$ApplicationWebSecurityConfigurerAdapter': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'objectPostProcessor': no URL paths identified
2017-10-25 01:56:06.415 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'authenticationManagerBuilder': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'enableGlobalAuthenticationAutowiredConfigurer': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'initializeUserDetailsBeanManagerConfigurer': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'initializeAuthenticationProviderBeanManagerConfigurer': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'delegatingApplicationListener': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'webSecurityExpressionHandler': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'springSecurityFilterChain': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'privilegeEvaluator': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'autowiredWebSecurityConfigurersIgnoreParents': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'requestDataValueProcessor': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.SpringBootWebSecurityConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'ignoredPathsWebSecurityConfigurerAdapter': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'defaultIgnoredRequestsCustomizer': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.AuthenticationManagerConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'authenticationManager': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'springBootAuthenticationConfigurerAdapter': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'authenticationManagerConfigurationListener': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.BootGlobalAuthenticationConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'bootGlobalAuthenticationConfigurationAdapter': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.SecurityAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.416 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'authenticationEventPublisher': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'securityProperties': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.info.ProjectInfoAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'spring.info-org.springframework.boot.autoconfigure.info.ProjectInfoProperties': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.security.SecurityFilterAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'securityFilterChainRegistration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.HttpEncodingAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'characterEncodingFilter': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'localeCharsetMappingsCustomizer': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.MultipartAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'multipartConfigElement': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'multipartResolver': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'spring.http.multipart-org.springframework.boot.autoconfigure.web.MultipartProperties': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.ServerPropertiesAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'serverProperties': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'duplicateServerPropertiesDetector': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.WebClientAutoConfiguration$RestTemplateConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'restTemplateBuilder': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.boot.autoconfigure.web.WebClientAutoConfiguration': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'autoConfigurationReport': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'springApplicationArguments': no URL paths identified
2017-10-25 01:56:06.417 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'springBootBanner': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'springBootLoggingSystem': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'environment': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'systemProperties': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'systemEnvironment': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importRegistry': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'messageSource': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'applicationEventMulticaster': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'servletContext': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'contextParameters': no URL paths identified
2017-10-25 01:56:06.418 DEBUG 9440 --- [           main] o.s.w.s.h.BeanNameUrlHandlerMapping      : Rejected bean name 'contextAttributes': no URL paths identified
2017-10-25 01:56:06.428  INFO 9440 --- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-10-25 01:56:06.428  INFO 9440 --- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-10-25 01:56:06.440 DEBUG 9440 --- [           main] .m.m.a.ExceptionHandlerExceptionResolver : Looking for exception mappings: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@64a294a6: startup date [Wed Oct 25 01:56:03 EDT 2017]; root of context hierarchy
2017-10-25 01:56:06.464  INFO 9440 --- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-10-25 01:56:06.657 DEBUG 9440 --- [           main] eGlobalAuthenticationAutowiredConfigurer : Eagerly initializing {org.springframework.boot.autoconfigure.security.SpringBootWebSecurityConfiguration=org.springframework.boot.autoconfigure.security.SpringBootWebSecurityConfiguration$$EnhancerBySpringCGLIB$$af149220@56528192}
2017-10-25 01:56:06.675  INFO 9440 --- [           main] b.a.s.AuthenticationManagerConfiguration : 

Using default security password: b50cbc29-f1d5-4217-bfd1-7f3295e20560

2017-10-25 01:56:06.783  INFO 9440 --- [           main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/css/**'], Ant [pattern='/js/**'], Ant [pattern='/images/**'], Ant [pattern='/webjars/**'], Ant [pattern='/**/favicon.ico'], Ant [pattern='/error']]], []
2017-10-25 01:56:06.839 DEBUG 9440 --- [           main] edFilterInvocationSecurityMetadataSource : Adding web access control expression 'authenticated', for org.springframework.security.web.util.matcher.AnyRequestMatcher@1
2017-10-25 01:56:06.849 DEBUG 9440 --- [           main] o.s.s.w.a.i.FilterSecurityInterceptor    : Validated configuration attributes
2017-10-25 01:56:06.850 DEBUG 9440 --- [           main] o.s.s.w.a.i.FilterSecurityInterceptor    : Validated configuration attributes
2017-10-25 01:56:06.853  INFO 9440 --- [           main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**'], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e4b8173, org.springframework.security.web.context.SecurityContextPersistenceFilter@659a969b, org.springframework.security.web.header.HeaderWriterFilter@bef2d72, org.springframework.security.web.csrf.CsrfFilter@1c93084c, org.springframework.security.web.authentication.logout.LogoutFilter@6f96c77, org.springframework.security.oauth2.client.filter.OAuth2ClientAuthenticationProcessingFilter@70e8f8e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2473d930, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@769f71a9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@17046283, org.springframework.security.web.session.SessionManagementFilter@22a637e7, org.springframework.security.web.access.ExceptionTranslationFilter@78b66d36, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@470f1802]
2017-10-25 01:56:06.864 DEBUG 9440 --- [           main] edFilterInvocationSecurityMetadataSource : Adding web access control expression 'hasAnyRole('ROLE_USER')', for org.springframework.security.web.util.matcher.AnyRequestMatcher@1
2017-10-25 01:56:06.866 DEBUG 9440 --- [           main] o.s.s.w.a.i.FilterSecurityInterceptor    : Validated configuration attributes
2017-10-25 01:56:06.866 DEBUG 9440 --- [           main] o.s.s.w.a.i.FilterSecurityInterceptor    : Validated configuration attributes
2017-10-25 01:56:06.866  INFO 9440 --- [           main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@48ae9b55, org.springframework.security.web.context.SecurityContextPersistenceFilter@57c758ac, org.springframework.security.web.header.HeaderWriterFilter@2667f029, org.springframework.security.web.authentication.logout.LogoutFilter@64cd705f, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@654f0d9c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@a9cd3b1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@13e39c73, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1700915, org.springframework.security.web.session.SessionManagementFilter@67a20f67, org.springframework.security.web.access.ExceptionTranslationFilter@353d0772, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6a28ffa4]
2017-10-25 01:56:06.950  INFO 9440 --- [           main] o.s.j.e.a.AnnotationMBeanExporter        : Registering beans for JMX exposure on startup
2017-10-25 01:56:06.964 DEBUG 9440 --- [           main] o.s.w.s.resource.ResourceUrlProvider     : Looking for resource handler mappings
2017-10-25 01:56:06.965 DEBUG 9440 --- [           main] o.s.w.s.resource.ResourceUrlProvider     : Found resource handler mapping: URL pattern="/**/favicon.ico", locations=[ServletContext resource [/], class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/], class path resource []], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@28eaa59a]
2017-10-25 01:56:06.965 DEBUG 9440 --- [           main] o.s.w.s.resource.ResourceUrlProvider     : Found resource handler mapping: URL pattern="/webjars/**", locations=[class path resource [META-INF/resources/webjars/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@3427b02d]
2017-10-25 01:56:06.965 DEBUG 9440 --- [           main] o.s.w.s.resource.ResourceUrlProvider     : Found resource handler mapping: URL pattern="/**", locations=[ServletContext resource [/], class path resource [META-INF/resources/], class path resource [resources/], class path resource [static/], class path resource [public/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@647e447]
2017-10-25 01:56:07.023  INFO 9440 --- [           main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat started on port(s): 8080 (http)
2017-10-25 01:56:07.024 DEBUG 9440 --- [           main] o.s.w.c.s.StandardServletEnvironment     : Adding PropertySource 'server.ports' with highest search precedence
2017-10-25 01:56:07.030  INFO 9440 --- [           main] com.gaurav.resource.ResourceApplication  : Started ResourceApplication in 3.792 seconds (JVM running for 4.239)
2017-10-25 01:56:43.945 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing servlet 'dispatcherServlet'
2017-10-25 01:56:44.006  INFO 9440 --- [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-10-25 01:56:44.007  INFO 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization started
2017-10-25 01:56:44.007 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Using MultipartResolver [org.springframework.web.multipart.support.StandardServletMultipartResolver@c1363da]
2017-10-25 01:56:44.066 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Unable to locate LocaleResolver with name 'localeResolver': using default [org.springframework.web.servlet.i18n.AcceptHeaderLocaleResolver@7812c3d9]
2017-10-25 01:56:44.077 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Unable to locate ThemeResolver with name 'themeResolver': using default [org.springframework.web.servlet.theme.FixedThemeResolver@583d8ad2]
2017-10-25 01:56:44.105 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Unable to locate RequestToViewNameTranslator with name 'viewNameTranslator': using default [org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator@67bb194a]
2017-10-25 01:56:44.122 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Unable to locate FlashMapManager with name 'flashMapManager': using default [org.springframework.web.servlet.support.SessionFlashMapManager@546dc46e]
2017-10-25 01:56:44.122 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Published WebApplicationContext of servlet 'dispatcherServlet' as ServletContext attribute with name [org.springframework.web.servlet.FrameworkServlet.CONTEXT.dispatcherServlet]
2017-10-25 01:56:44.122  INFO 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : FrameworkServlet 'dispatcherServlet': initialization completed in 115 ms
2017-10-25 01:56:44.122 DEBUG 9440 --- [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Servlet 'dispatcherServlet' configured successfully
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/css/**']
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/'; against '/css/**'
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/js/**']
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/'; against '/js/**'
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/images/**']
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/'; against '/images/**'
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/webjars/**']
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/'; against '/webjars/**'
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/**/favicon.ico']
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/'; against '/**/favicon.ico'
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : Trying to match using Ant [pattern='/error']
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Checking match of request : '/'; against '/error'
2017-10-25 01:56:44.968 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.web.util.matcher.OrRequestMatcher  : No matches found
2017-10-25 01:56:44.969 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request '/' matched by universal pattern '/**'
2017-10-25 01:56:44.969 DEBUG 9440 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : / at position 1 of 12 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2017-10-25 01:56:44.970 DEBUG 9440 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : / at position 2 of 12 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2017-10-25 01:56:44.970 DEBUG 9440 --- [nio-8080-exec-1] w.c.HttpSessionSecurityContextRepository : No HttpSession currently exists
2017-10-25 01:56:44.970 DEBUG 9440 --- [nio-8080-exec-1] w.c.HttpSessionSecurityContextRepository : No SecurityContext was available from the HttpSession: null. A new one will be created.
2017-10-25 01:56:44.972 DEBUG 9440 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : / at position 3 of 12 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2017-10-25 01:56:44.972 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.header.writers.HstsHeaderWriter  : Not injecting HSTS header since it did not match the requestMatcher org.springframework.security.web.header.writers.HstsHeaderWriter$SecureRequestMatcher@1a6dc88b
2017-10-25 01:56:44.972 DEBUG 9440 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : / at position 4 of 12 in additional filter chain; firing Filter: 'CsrfFilter'
2017-10-25 01:56:44.973 DEBUG 9440 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : / at position 5 of 12 in additional filter chain; firing Filter: 'LogoutFilter'
2017-10-25 01:56:44.973 DEBUG 9440 --- [nio-8080-exec-1] o.s.s.w.u.matcher.AntPathRequestMatcher  : Request 'GET /' doesn't match 'POST /logout
2017-10-25 01:56:44.973 DEBUG 9440 --- [nio-8080-exec-1] o.s.security.web.FilterChainProxy        : / at position 6 of 12 in additional filter chain; firing Filter: 'OAuth2ClientAuthenticationProcessingFilter'
